word,x,y
amid,-1.9919306,-0.052202724
amidst,-2.1508617,-0.6095023
among,-0.31816003,0.82304984
amongst,-3.7400224,-1.8110853
amos,0.04739369,-1.8237462
amount,0.07923965,-0.82500356
amounts,-3.1332202,0.58926624
amused,0.4894484,0.10470808
amusement,3.8876872,0.7763992
amusing,2.7966416,-1.7925165
amycus,0.7983643,-3.4697046
ancestors,2.0778208,-1.3522975
ancient,-4.328535,0.48395237
andromeda,2.2742198,0.8068034
angel,-2.3845432,0.07947856
angelina,-2.1040041,-1.1462077
anger,1.6143638,1.8421206
angle,-0.3560034,2.331046
angles,-1.692,4.6059136
anglia,-1.9325376,-3.3283713
angrier,0.820838,-0.04652079
angrily,-0.47108036,-0.1646679
angry,0.41600686,-0.031267934
anguish,0.921447,1.6131455
anguished,-3.3916283,-0.52029043
animagi,2.1724389,-1.476109
animagus,1.2939599,-1.9186318
animal,0.22031794,1.0419033
animals,-0.50771284,0.11009459
animatedly,-1.4012321,0.29771408
ankle,-1.0313357,2.4628787
ankles,-1.134301,1.4337177
announce,2.1707683,0.560629
announced,-1.1230643,-0.08073182
announcement,-0.65117043,-4.0779495
announcing,1.8869882,-3.2843766
annoy,1.6497977,-2.8184714
annoyance,-0.99972856,-2.0637763
annoyed,-1.5123452,-3.1115875
annoying,-1.6128379,-3.2826967
another,-0.06193636,0.19765534
answer,0.37602806,-0.037747953
answered,2.7024581,1.0509727
answering,-0.7066448,-0.6152547
answers,2.5923917,-1.2604628
anthony,-1.9529701,-0.6849187
anticipated,3.067533,0.1653408
anticipation,-1.7127807,-2.43907
antidementor,-1.4588556,-2.2257402
antidote,0.1805151,-0.7594276
antidotes,1.061851,0.6549665
antlers,-1.6165217,2.188297
anxiety,-0.15251032,1.2326652
anxious,-0.15711944,-0.19312118
anxiously,-0.87224466,-0.32900748
anybody,2.112604,-1.3341707
anymore,0.7044626,-1.3631209
anyone,0.26123938,-0.63508826
anythin,0.11792776,-2.4808154
anytime,0.78100175,-1.7315168
anyway,-0.03825098,-1.2587134
anywhere,0.0027612336,-0.56183153
apart,-0.4267827,0.23820648
